                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.0351,                 2.1507,                0.93871,                 1.2221,                0.24734,                0.16667,                0.08021,                0.03096,                0.24734,                0.16667,                 0.0662,                0.02429,                 2.7572,                 5.1606,                 4.5727,                 2.8504,               0.001903,               0.001903,               0.001903
                     52,                   1.01,                  2.092,                0.88501,                 1.2324,                0.11801,                0.16667,                0.05244,                0.01603,                0.20922,                0.08333,                   0.04,                0.01323,                 2.9253,                 5.2589,                 4.7305,                  2.866,               0.001901,               0.001901,               0.001901
                     53,                 1.0635,                 2.0724,                 1.0216,                 1.2546,                0.26355,                0.20878,                0.10141,                0.04449,                0.21041,                0.16667,                0.05799,                0.02753,                 2.5405,                 4.8565,                 3.3255,                 2.5554,               0.001899,               0.001899,               0.001899
                     54,                  1.111,                 2.0734,                 1.0111,                 1.2673,                0.52469,                   0.25,                0.27524,                0.13253,                0.33206,                0.16667,                0.18464,                0.08293,                  2.275,                 5.1447,                  2.317,                 2.1178,               0.001897,               0.001897,               0.001897
                     55,                 1.0847,                 2.1908,                 1.0666,                 1.2585,                0.30429,                0.38293,                0.27684,                0.10038,                0.33652,                0.29167,                0.21085,                0.07635,                 2.5802,                  5.649,                 2.5022,                 2.3772,              0.0018951,              0.0018951,              0.0018951
                     56,                 1.1091,                 1.9966,                 1.0935,                 1.3436,                0.53281,                0.29167,                0.28736,                0.13719,                0.31729,                  0.375,                0.27859,                0.12543,                 2.2149,                 5.3575,                  2.426,                 2.1261,              0.0018931,              0.0018931,              0.0018931
                     57,                  1.018,                 1.9604,                0.94426,                 1.2113,                0.54229,                0.41667,                0.34887,                0.19747,                0.48364,                  0.375,                0.32138,                0.13211,                 2.0105,                 4.7903,                 2.3664,                 2.0561,              0.0018911,              0.0018911,              0.0018911
                     58,                 1.1015,                  2.107,                 1.0161,                 1.2975,                 0.3653,                0.41667,                 0.2684,                0.15926,                0.44307,                0.33333,                0.22906,                0.06561,                 1.8256,                  4.777,                 2.6079,                 1.9046,              0.0018891,              0.0018891,              0.0018891
                     59,                 1.0462,                 2.0146,                0.99048,                 1.2544,                0.35234,                0.45833,                0.31737,                0.15949,                0.39071,                0.33333,                0.24129,                0.10795,                 1.8653,                 4.7158,                 2.5832,                 1.8553,              0.0018871,              0.0018871,              0.0018871
                     60,                0.98917,                 1.9495,                0.92321,                 1.2186,                0.51285,                0.54167,                0.40965,                 0.1916,                0.55504,                  0.375,                0.36354,                0.15273,                 2.0091,                 5.4843,                 2.3248,                 1.9808,              0.0018852,              0.0018852,              0.0018852
                     61,                0.94241,                 1.8428,                0.83536,                 1.1805,                0.40997,                0.45833,                0.25034,                0.10823,                0.45338,                0.31167,                0.23585,                0.07494,                 2.2015,                 6.1541,                 3.0022,                 2.2054,              0.0018832,              0.0018832,              0.0018832
                     62,                 0.9778,                 1.8346,                0.85719,                 1.1702,                0.27283,                  0.375,                 0.1905,                0.08071,                0.24684,                  0.375,                0.13708,                0.04793,                 2.1561,                 6.4367,                 3.8284,                 2.3992,              0.0018812,              0.0018812,              0.0018812
                     63,                 1.0188,                 2.0439,                0.97306,                 1.2791,                0.37361,                   0.25,                0.15658,                0.06874,                0.30941,                0.20833,                0.10176,                0.03498,                 2.1538,                 5.5617,                 3.6642,                 2.4209,              0.0018792,              0.0018792,              0.0018792
                     64,                 1.0983,                 2.0667,                0.98261,                 1.2847,                0.47852,                0.33333,                0.28361,                0.10054,                0.35703,                   0.25,                0.19249,                0.06322,                 1.9225,                 4.7009,                 3.0051,                 2.1718,              0.0018772,              0.0018772,              0.0018772
                     65,                  1.051,                 2.0249,                0.95696,                 1.2732,                0.24237,                0.33333,                0.20319,                0.11091,                0.27157,                0.29527,                0.17967,                0.07301,                 1.8417,                 5.2678,                 3.4727,                 1.9325,              0.0018753,              0.0018753,              0.0018753
                     66,                0.96509,                 2.0839,                0.89841,                 1.2229,                 0.2464,                0.33333,                0.14621,                0.08133,                0.27806,                0.20833,                0.13003,                0.06606,                 1.7078,                 4.3957,                 3.8607,                 1.8563,              0.0018733,              0.0018733,              0.0018733
                     67,                0.97004,                 1.9679,                0.89132,                 1.2148,                0.35727,                0.29167,                0.23652,                0.12689,                0.24761,                0.45833,                 0.2255,                 0.1103,                 1.7849,                 4.3697,                 2.9954,                 1.9814,              0.0018713,              0.0018713,              0.0018713
                     68,                 1.0352,                 2.0478,                0.95468,                 1.2879,                0.34692,                0.45833,                0.37447,                0.17001,                0.31916,                0.45833,                0.28121,                0.12692,                 1.8969,                 4.8832,                  2.643,                 2.0923,              0.0018693,              0.0018693,              0.0018693
                     69,                0.99765,                 1.9764,                0.87639,                 1.2299,                0.53151,                0.33333,                0.36034,                 0.1839,                0.46456,                0.29167,                 0.2674,                 0.1325,                 1.8257,                 4.6995,                 2.5511,                 2.0752,              0.0018673,              0.0018673,              0.0018673
                     70,                0.93729,                 1.7625,                0.84907,                 1.1693,                0.49449,                0.29167,                0.29772,                0.16277,                 0.5758,                0.20833,                0.23194,                0.13341,                 1.9371,                  4.828,                  2.712,                 2.1633,              0.0018654,              0.0018654,              0.0018654
                     71,                 1.0045,                 2.0069,                0.89989,                 1.2258,                0.56429,                0.41667,                0.36535,                0.18354,                0.43395,                0.29167,                0.24589,                0.12486,                 1.8837,                 4.9476,                 2.5646,                 2.0317,              0.0018634,              0.0018634,              0.0018634
                     72,                 1.0513,                 1.9935,                0.94541,                 1.2748,                 0.6936,                  0.375,                0.33412,                0.16998,                0.57103,                   0.25,                0.18384,                0.09148,                 1.9929,                 5.5634,                 2.5316,                 2.2307,              0.0018614,              0.0018614,              0.0018614
                     73,                 0.9678,                 1.8256,                0.83562,                  1.178,                0.35172,                    0.5,                0.32053,                0.16854,                0.35818,                0.33333,                0.27411,                0.10771,                 1.9886,                 6.0076,                 2.6172,                 2.1488,              0.0018594,              0.0018594,              0.0018594
                     74,                 1.0125,                 1.9542,                0.89761,                 1.2385,                0.43942,                    0.5,                0.36255,                0.20852,                0.37142,                0.41667,                0.29729,                0.14824,                 1.8367,                 5.1765,                 2.3458,                 1.9671,              0.0018574,              0.0018574,              0.0018574
                     75,                0.94037,                 1.9101,                0.86123,                 1.1802,                0.61908,                  0.375,                0.44648,                0.21983,                0.64976,                0.31009,                 0.3511,                0.17073,                 2.0027,                 4.8668,                 2.1807,                 2.0888,              0.0018555,              0.0018555,              0.0018555
                     76,                0.99076,                 1.8794,                0.80579,                 1.2076,                0.41715,                0.45833,                0.41287,                0.22615,                0.60737,                0.29167,                0.32614,                0.16941,                 2.0967,                 5.2296,                  2.458,                 2.1916,              0.0018535,              0.0018535,              0.0018535
                     77,                0.94209,                  1.736,                0.86702,                 1.1812,                0.45516,                0.41667,                0.38686,                0.19604,                0.75116,                0.29167,                0.33265,                0.14197,                 2.0722,                 5.4643,                 2.7468,                 2.0688,              0.0018515,              0.0018515,              0.0018515
                     78,                0.97231,                 1.9491,                0.83482,                 1.2255,                0.62377,                0.45833,                0.43923,                0.19653,                0.41196,                0.29167,                 0.2337,                0.11569,                 2.0878,                 5.1946,                 2.3643,                 2.0317,              0.0018495,              0.0018495,              0.0018495
                     79,                0.92623,                  1.806,                0.84735,                 1.1734,                0.62344,                    0.5,                0.46784,                0.21886,                 0.4152,                0.33333,                  0.277,                0.12542,                 2.0645,                 5.1731,                 2.0885,                 2.1081,              0.0018475,              0.0018475,              0.0018475
                     80,                0.96181,                 1.9256,                0.89868,                  1.197,                0.58321,                0.45833,                0.44739,                 0.2342,                0.61544,                0.29167,                0.32071,                0.13181,                 2.0639,                 5.1455,                 2.0861,                 2.0124,              0.0018456,              0.0018456,              0.0018456
                     81,                0.90957,                 1.9055,                0.81596,                 1.2389,                0.44152,                0.41667,                  0.415,                0.23521,                0.31166,                  0.375,                 0.3154,                0.14758,                 1.9556,                 5.1627,                 1.9707,                  1.924,              0.0018436,              0.0018436,              0.0018436
                     82,                0.88105,                   1.74,                 0.7262,                 1.1643,                0.49834,                    0.5,                 0.3974,                0.21675,                0.36794,                  0.375,                0.28083,                0.16301,                 1.9824,                 4.9867,                 1.9115,                 1.9799,              0.0018416,              0.0018416,              0.0018416
                     83,                0.89399,                 1.7767,                0.77202,                 1.1416,                0.49905,                0.41667,                0.34375,                0.17737,                0.29014,                  0.375,                0.23596,                0.12159,                  1.952,                 4.8457,                 2.0187,                 1.9717,              0.0018396,              0.0018396,              0.0018396
                     84,                0.90856,                 1.7494,                 0.8125,                 1.1733,                0.42054,                  0.375,                0.32155,                0.17124,                0.35951,                0.33333,                0.25521,                0.11449,                 1.9243,                 4.4654,                 2.1656,                 1.8894,              0.0018376,              0.0018376,              0.0018376
                     85,                0.92621,                 1.8068,                0.80781,                 1.2379,                0.59808,                0.33333,                0.40232,                0.19309,                0.51281,                0.29167,                0.31376,                0.12978,                 1.9505,                 4.3995,                 1.9897,                 1.9347,              0.0018357,              0.0018357,              0.0018357
                     86,                0.97654,                 1.7368,                0.88081,                 1.2227,                0.34507,                    0.5,                0.38207,                0.18299,                0.30394,                0.41667,                0.29892,                0.13355,                 2.1212,                 4.4589,                 2.0013,                 2.0668,              0.0018337,              0.0018337,              0.0018337
                     87,                0.94313,                 1.7416,                0.80683,                 1.1961,                0.31376,                0.45833,                0.30854,                0.14111,                0.25112,                  0.375,                0.23615,                0.12109,                 2.2461,                 4.2528,                 2.3175,                  2.242,              0.0018317,              0.0018317,              0.0018317
                     88,                0.86569,                 1.6759,                0.76233,                 1.1128,                0.28467,                0.29167,                0.25306,                0.12216,                0.28467,                0.29167,                0.22201,                0.11044,                 2.1621,                 4.2548,                 2.4539,                 2.1223,              0.0018297,              0.0018297,              0.0018297
                     89,                0.85706,                 1.6499,                0.73499,                 1.1489,                0.32824,                  0.375,                0.30444,                  0.124,                0.32824,                  0.375,                0.29437,                0.11394,                 2.0853,                 4.5855,                 2.2903,                 2.1276,              0.0018277,              0.0018277,              0.0018277
                     90,                0.89528,                 1.7035,                0.79089,                 1.1516,                 0.6408,                0.41667,                0.35265,                 0.1858,                 0.5569,                0.33333,                0.26662,                0.12942,                 1.9699,                 5.1501,                 2.3172,                 2.0309,              0.0018258,              0.0018258,              0.0018258
                     91,                0.84344,                 1.5953,                 0.7253,                 1.1245,                 0.6102,                0.41667,                0.40051,                0.21973,                0.51924,                  0.375,                0.32887,                0.15905,                 1.7822,                 4.7473,                 2.2632,                 1.9138,              0.0018238,              0.0018238,              0.0018238
                     92,                0.85566,                 1.6939,                0.71897,                 1.1219,                0.61319,                0.41667,                0.40584,                0.22355,                0.55187,                  0.375,                 0.3178,                0.16565,                 1.7714,                 4.0411,                  2.225,                 1.9073,              0.0018218,              0.0018218,              0.0018218
